rebalance_freq,stop_loss,vol_target,position_sizing,sharpe,sortino,calmar,max_dd,ann_return,total_return,ann_turnover,win_rate
5,0.1,0.1,inv_vol,-3.1263488740388707,-8.89176591583453,-0.209337320424275,-0.275274518671183,-0.05762523014064125,-0.275274518671183,464.8965517241379,0.0
5,0.1,0.15,equal,-3.126348874038871,-8.891765915834531,-0.21100892845049912,-0.27309380007139716,-0.05762523014064125,-0.275274518671183,499.33333333333326,0.0
5,0.1,0.15,inv_vol,-3.1263488740388707,-8.89176591583453,-0.209337320424275,-0.275274518671183,-0.05762523014064125,-0.275274518671183,464.8965517241379,0.0
5,0.15,,equal,-3.9464979729258145,-16.902250781312688,-0.19793635476773352,-0.14969673971747977,-0.02963042700008578,-0.15054704297776234,500.9268292682926,0.0
5,0.15,,inv_vol,-3.9464979729258136,-16.902250781312688,-0.1968183924062907,-0.15054704297776234,-0.02963042700008578,-0.15054704297776234,477.6279069767442,0.0
5,0.15,0.1,equal,-3.8380461314083654,-16.437768512573943,-0.22406553727161227,-0.3858179266365085,-0.08644850104323532,-0.387660472856599,500.9268292682926,0.0
5,0.15,0.1,inv_vol,-3.838046131408364,-16.437768512573943,-0.22300055608948752,-0.387660472856599,-0.08644850104323532,-0.387660472856599,477.6279069767442,0.0
5,0.15,0.15,equal,-3.8380461314083654,-16.437768512573943,-0.22406553727161227,-0.3858179266365085,-0.08644850104323532,-0.387660472856599,500.9268292682926,0.0
5,0.15,0.15,inv_vol,-3.838046131408364,-16.437768512573943,-0.22300055608948752,-0.387660472856599,-0.08644850104323532,-0.387660472856599,477.6279069767442,0.0
10,,,equal,-5.164755885342639,-36.223908268959924,-0.2061172387373506,-0.2383532117281727,-0.04912870586620177,-0.23911485851644454,502.16058394160575,0.0
10,,,inv_vol,-5.124561953270526,-35.44463204234626,-0.2051433805363055,-0.2360621629194708,-0.04842659013852668,-0.2360621629194708,494.8029197080292,0.0
10,,0.1,equal,-4.924301122830438,-34.53743867863817,-0.2514352275985291,-0.5588886037719769,-0.1405242833167747,-0.5602119379606609,502.16058394160575,0.0
10,,0.1,inv_vol,-4.889476054729046,-33.81863434453203,-0.24980807877277955,-0.5548866012581131,-0.13861515582202744,-0.5548866012581131,494.8029197080292,0.0
10,,0.15,equal,-4.924301122830438,-34.53743867863817,-0.2514352275985291,-0.5588886037719769,-0.1405242833167747,-0.5602119379606609,502.16058394160575,0.0
10,,0.15,inv_vol,-4.889476054729046,-33.81863434453203,-0.24980807877277955,-0.5548866012581131,-0.13861515582202744,-0.5548866012581131,494.8029197080292,0.0
10,0.05,,equal,-2.2332566663648836,-3.1856501649614666,-0.19188119683951738,-0.05072056289030924,-0.009732322330954668,-0.05166984232741889,494.6666666666666,0.0
10,0.05,,inv_vol,-2.233256666364883,-3.1856501649614657,-0.18835595143580613,-0.05166984232741889,-0.009732322330954668,-0.05166984232741889,460.55172413793105,0.0
10,0.05,0.1,equal,-2.215928532923183,-3.1609323051941915,-0.20001296756468687,-0.1448427257452184,-0.0289704234264605,-0.14740819756798273,494.6666666666666,0.0
